Year,GDP,,,,,,,
2000,302,,,,,,,
2001,315,,,,Column1,,21,2679
2002,340,,,,,,,
2003,389,,,,Mean,1341.857143,,
2004,453,,,,Standard Error,181.7566962,,
2005,537,,,,Median,1234,,
2006,624,,,,Mode,#N/A,,
2007,730,,,,Standard Deviation,832.9138182,,
2008,1065,,,,Sample Variance,693745.4286,,
2009,1132,,,,Kurtosis,-1.447291133,,
2010,1234,,,,Skewness,0.191905264,,
2011,1443,,,,Range,2377,,
2012,1655,,,,Minimum,302,,
2013,1811,,,,Maximum,2679,,
2014,1952,,,,Sum,28179,,
2015,2009,,,,Count,21,,
2016,2115,,,,,0,,
2017,2289,,,,,,,
2018,2490,,,,,,,
2019,2615,,,,,,,
2020,2679,,,,,,,
