DoAm,DoAmDao,ApSuat,NhietDo
83,0.012048193,1009,27
56.5,0.017699115,1008.5,30.5
49,0.020408163,1007,32
74,0.013513514,1009,27
62,0.016129032,1007,31
60,0.016666667,1007,30.5
34,0.029411765,1009.5,32.5
65,0.015384615,1012,26
80.5,0.01242236,1012,25.5
69,0.014492754,1012,25
73,0.01369863,1012.5,26
52,0.019230769,1010,31
65,0.015384615,1007,29
43,0.023255814,1006,33
80.5,0.01242236,1012,24
62,0.016129032,1010,29
41.5,0.024096386,1009.5,31
37,0.027027027,1012,31
42.5,0.023529412,1013,30.5
65,0.015384615,1012,26.5
59,0.016949153,1009.5,27
38,0.026315789,1007,32
52,0.019230769,1009,31
55,0.018181818,1005,32
49,0.020408163,1010,34
48,0.020833333,1010,31
35,0.028571429,1009.5,34
30,0.033333333,1008.5,35
61,0.016393443,1008,28
55,0.018181818,1007,32
46,0.02173913,1005,34
66,0.015151515,1010,30
44,0.022727273,1003.5,35
74,0.013513514,1005,30
55,0.018181818,1007,30
48,0.020833333,1009,31
78,0.012820513,1011.5,28
81,0.012345679,1007,29
57,0.01754386,1009.5,32.5
74,0.013513514,1010,29
62,0.016129032,1006.5,32.5
74,0.013513514,1012,31
46,0.02173913,1010.5,34.5
76.5,0.013071895,1012,29
64,0.015625,1008.5,30
49,0.020408163,1008,34.5
49,0.020408163,1006.5,35
68,0.014705882,1004.5,31.5
59,0.016949153,1007,33
74.5,0.013422819,1010,30
78.5,0.012738854,1005.5,28.5
45,0.022222222,1006,34.5
97,0.010309278,1006.5,26
91,0.010989011,1009,26.5
88,0.011363636,1009.5,27
79,0.012658228,1011.5,29
64.5,0.015503876,1008,33.5
66,0.015151515,1007,31
76,0.013157895,1010,28.5
57,0.01754386,1007,33
84,0.011904762,1009,30
94,0.010638298,1008.5,28
83,0.012048193,1011,29
79,0.012658228,1010,30
66,0.015151515,1008,32
49,0.020408163,1008,35
84,0.011904762,1010,30
97,0.010309278,1004,26.5
91,0.010989011,1006,28.5
72,0.013888889,1007,30.5
94,0.010638298,1008,27.5
83,0.012048193,1009,27
83,0.012048193,1004,29
76.5,0.013071895,1009,31
85.5,0.011695906,1008.5,29
79,0.012658228,1008.5,29.5
76.5,0.013071895,1008.5,31.5
61,0.016393443,1005.5,34
81,0.012345679,1010,29.5
88,0.011363636,1012,28
91,0.010989011,1009,27.5
81,0.012345679,1013,29
94,0.010638298,1012,26
100,0.01,1010,24
83,0.012048193,1010,27
97,0.010309278,1010.5,26.5
85.5,0.011695906,1009,28.5
85.5,0.011695906,1009,28
94,0.010638298,1009,27
94,0.010638298,1008,26
97,0.010309278,1010,26
83,0.012048193,1009,28
68,0.014705882,1007,31
85.5,0.011695906,1011,27.5
83.5,0.011976048,1008,28
76.5,0.013071895,1006,29.5
70,0.014285714,1009,31.5
64,0.015625,1009.5,31
66,0.015151515,1007,30.5
74,0.013513514,1008,30
94,0.010638298,1005,28
76.5,0.013071895,1003,29.5
76.5,0.013071895,1003,29.5
76.5,0.013071895,1003,29.5
76.5,0.013071895,1003,29.5
70,0.014285714,1008,31
57,0.01754386,1009.5,33
76,0.013157895,1010.5,28.5
62,0.016129032,1009,32
