Date,Open,High,Low,Close,Adj Close,Volume
4/21/2022,22.879999,22.879999,22.879999,22.879999,22.879999,0
4/22/2022,22.219999,22.219999,22.219999,22.219999,22.219999,0
4/25/2022,22.41,22.41,22.41,22.41,22.41,0
4/26/2022,21.809999,21.809999,21.809999,21.809999,21.809999,0
4/27/2022,21.9,21.9,21.9,21.9,21.9,0
4/28/2022,22.33,22.33,22.33,22.33,22.33,0
4/29/2022,21.530001,21.530001,21.530001,21.530001,21.530001,0
5/2/2022,21.68,21.68,21.68,21.68,21.68,0
5/3/2022,21.76,21.76,21.76,21.76,21.76,0
5/4/2022,22.35,22.35,22.35,22.35,22.35,0
5/5/2022,21.540001,21.540001,21.540001,21.540001,21.540001,0
5/6/2022,21.540001,21.540001,21.540001,21.540001,21.540001,0
5/9/2022,20.85,20.85,20.85,20.85,20.85,0
5/10/2022,20.85,20.85,20.85,20.85,20.85,0
5/11/2022,20.48,20.48,20.48,20.48,20.48,0
5/12/2022,20.48,20.48,20.48,20.48,20.48,0
